Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bahrain,,2.70000004768372,2.59999990463257,,,,,,,,,2.40000009536743,,,,,,,,,,1.5,,,,,,
Bangladesh,,,,,58.7999992370606,57.7000007629394,57.0999984741211,,,64.9000015258789,,66.4000015258789,,,,,63.2000007629394,,,,62.0999984741211,,,51.7000007629394,,48.0999984741211,,
Barbados,,9.39999961853027,8.60000038146973,8,9.10000038146973,8.5,8.19999980926514,8,7.80000019073486,6.59999990463257,6.30000019073486,5.5,6.19999980926514,5.59999990463257,5.30000019073486,4.59999990463257,5.30000019073486,5.30000019073486,4.40000009536743,4.30000019073486,3.70000004768372,4.19999980926514,4,4.59999990463257,3.29999995231628,,,
Belgium,3.09999990463257,3.09999990463257,3.09999990463257,3.09999990463257,3.09999990463257,3.09999990463257,3,2.90000009536743,,,,,,2.5,2.5,2.40000009536743,2.40000009536743,2.29999995231628,2.29999995231628,2,1.79999995231628,1.60000002384186,1.70000004768372,1.70000004768372,2,2,2,
Belize,,,,,,,,,,,,,,24.2000007629395,22.8999996185303,27.2000007629395,28.7000007629394,29.8999996185303,25,27.5,,,,,,19.5,,
Bermuda,,,,,,,,,,,,,,,,,,,,,1.39999997615814,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,43.5999984741211,,
Bolivia,46.5,46.2999992370606,46.4000015258789,47.4000015258789,47.2999992370606,47.4000015258789,47.4000015258789,47.4000015258789,47.4000015258789,2.20000004768372,1.20000004768372,1.79999995231628,2.09999990463257,1.89999997615814,1.60000002384186,2.20000004768372,5.30000019073486,5.69999980926514,,3.79999995231628,4.90000009536743,41.5,39.5999984741211,,,,,
Botswana,,,,,,57.9000015258789,,,,,,,,,,,15.6000003814697,,20.3999996185303,,19.7000007629395,12.3999996185303,,21.2000007629395,,29.8999996185303,,
Brazil,,29.2999992370606,29.5,27.1000003814697,29.7999992370606,28.6000003814697,25.8999996185303,24.6000003814697,24.2000007629395,23.2000007629395,,,,,,,,,,,18.5,,20.6000003814697,20.7000007629395,21,20.5,19.2999992370605,
British Virgin Islands,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,1.39999997615814,,,,,,
